
Tue Nov  5 22:40:42 UTC 2019
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   3492 3628028 1141932 4376184    0    0   769  1436  261    9 14  6 79  1  0
13  1   3492 3522992 1141948 4409428    0    0  5449  1198 5522 11826 79 15  5  1  0
12  0   3492 3514960 1141968 4430400    0    0  3878   807 5310 9887 86 13  1  0  0
13  0   3492 3391972 1134644 4400840    0    0  4038  1206 5392 9585 75 22  2  0  0
13  1   3492 3486828 1114276 4267436    0    0  3759   440 4441 8051 71 26  2  0  0
 8  1   3492 3703944 1113800 4279520    0    0  2722  1200 5369 11570 77 15  8  0  0
 4  1   3492 3759488 1113888 4298316    0    0  3536  1126 6363 12698 76 18  6  0  0
10  0   3492 3716268 1113920 4322920    0    0  3790  1889 6985 15939 65 15 19  1  0
 6  1   3492 3716464 1113944 4340116    0    0  2982  1474 7212 16891 61 17 21  2  0
 5  1   3492 3668052 1113964 4359916    0    0  3438  2462 7013 15194 62 13 23  1  0
 6  0   3492 3662448 1114180 4389648    0    0  5531  1334 7061 15357 66 14 20  1  0
13  1   3492 3602248 1114200 4405260    0    0  2654  1313 5742 12052 77 17  5  0  0
 6  0   3492 3605588 1114208 4435384    0    0  5724  1286 6241 12586 68 15 16  1  0
 6  0   3492 3566176 1114400 4457104    0    0  5058  3193 6544 14786 60 17 22  1  0
 6  0   3492 3552296 1114436 4490700    0    0  6274  1399 6666 14913 63 16 20  1  0
 7  1   3492 3486264 1116840 4566820    0    0 14159  2519 8597 16439 61 17 19  3  0
 9  1   3492 3369484 1119392 4669840    0    0 18765   846 9463 19082 62 18 18  3  0
13  0   3492 3222112 1123728 4734920    0    0 11850   878 6790 12700 74 18  7  1  0
 8  0   3492 3249384 1123740 4761912    0    0  5118  1077 5832 12518 76 16  7  1  0
 6  1   3492 3205712 1123776 4774308    0    0  1357  2302 6454 15021 75 19  6  1  0
 4  0   3492 3241116 1123796 4796868    0    0  3968  1420 7279 15617 65 16 18  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  1   3492 3220628 1123808 4818452    0    0  3789  2802 7084 14816 57 15 26  2  0
 8  0   3492 3184620 1124740 4866976    0    0  8399  1587 8697 18234 56 18 24  3  0
 2  0   3492 3164228 1125416 4884004    0    0  5153  1255 6442 13349 60 20 17  2  0
 3  1   3492 3157920 1125444 4890808    0    0   794  1759 6844 15253 53 15 30  2  0
 9  0   3492 3145504 1125584 4904780    0    0  3537  3611 7783 17249 52 16 31  2  0
10  0   3492 3127916 1125612 4920652    0    0  2637  1926 7426 15988 48 16 34  2  0
 6  0   3492 3116068 1125640 4931368    0    0  1539  3643 7940 16920 47 17 34  2  0
 5  1   3492 3096760 1125656 4944896    0    0  2074  1933 7964 17982 46 17 35  2  0
 5  0   3492 3079060 1125712 4959368    0    0  2099  2211 7889 17593 47 16 35  2  0
 6  0   3492 3070960 1125740 4967152    0    0   947  1986 7338 16908 46 17 35  2  0
 8  1   3492 3061068 1125756 4976140    0    0   486  2820 7642 19183 46 15 37  3  0
 5  0   3492 3040788 1125772 4992400    0    0  2586  2191 7982 17515 50 15 33  2  0
 3  0   3492 3035716 1125932 4996032    0    0  1952  5505 7529 16962 50 16 33  2  0
 6  0   3492 3029244 1125956 5005832    0    0  1382  1774 7325 16198 52 15 31  2  0
 4  1   3492 3023360 1125984 5011840    0    0   538  1992 7792 17874 48 14 36  2  0
 2  0   3492 2991700 1126024 5027576    0    0  2611  1691 7073 15116 52 15 30  2  0
 4  0   3492 2987184 1126052 5047184    0    0  2611  2370 7567 17137 47 18 33  2  0
 6  0   3492 2977512 1126080 5054980    0    0   973  2230 7499 17409 46 16 35  2  0
 6  0   3492 2960624 1126124 5073988    0    0  2995  4108 6987 14736 52 16 30  2  0
 6  0   3492 2949124 1126132 5080628    0    0  1101  1208 5747 12002 53 17 29  2  0
10  0   3492 2940112 1126156 5094524    0    0  2150  1773 6983 15336 50 16 32  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   3492 2940672 1126332 5097308    0    0  1843  3523 7211 16044 48 16 34  2  0
 5  0   3492 2912848 1126368 5118788    0    0  2995  2504 8112 18659 48 18 32  2  0
 4  0   3492 2904616 1126404 5129728    0    0  1562  1874 7435 17314 47 15 36  2  0
 6  0   3492 2889844 1126436 5142484    0    0  1946  3824 7830 17312 48 16 34  2  0
 5  0   3492 2872552 1126644 5154708    0    0  1838  1946 8144 18311 46 17 35  2  0
 5  0   3492 2855112 1126844 5170136    0    0  2210  2256 8346 18826 47 16 36  2  0
 4  1   3492 2846244 1126860 5183572    0    0  2048  1955 7952 18383 48 15 35  2  0
