
Tue Jun 30 22:16:53 UTC 2020
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0  96000 2424168 706628 5838268    0    0    93   242   19   24  3  2 95  0  0
 8  1  96000 2398344 706648 5847196    0    0   323  1187 6217 7601 86 13  1  0  0
 7  0  96000 2383240 706656 5847480    0    0     0   188 7226 8232 84 15  1  0  0
10  0  96000 2347216 706664 5847868    0    0     2   221 6640 6257 84 15  1  0  0
 6  0  96000 2406736 706696 5849424    0    0     5   534 6941 7190 76 19  5  0  0
 9  0  96000 2393680 706700 5850004    0    0     7   289 6968 7296 76 18  5  0  0
 4  0  96000 2398168 706704 5850600    0    0    10   686 7249 7861 73 20  7  0  0
 6  0  96000 2308392 706716 5856380    0    0   147  1821 7101 9740 77 18  5  0  0
 4  0  96000 2396260 706724 5857116    0    0    18   448 8640 11205 65 22 12  1  0
 4  0  96000 2377912 706744 5858832    1    0    18   590 8147 10081 69 22  9  0  0
 7  0  96000 2370288 706748 5859580    0    0    20   447 8648 10913 68 22  9  0  0
 7  0  96000 2362824 706752 5860336    0    0    36   560 8523 10932 61 23 16  1  0
 8  0  96000 2329332 706164 5843104    0    4    28  1041 7641 8605 71 22  6  0  0
 8  0  96000 2327528 705616 5827820    0    2   271  2493 7727 10766 74 23  3  0  0
 8  0  96000 2361292 705624 5828096    0    0    33   409 7494 8487 68 21 10  0  0
 6  0  96000 2322916 705628 5828760    0    0    32   486 7928 9653 59 22 18  1  0
 3  0  96000 2351360 704072 5782276    0    0    38   628 7494 8255 61 28 10  0  0
 7  0  96000 2343420 704080 5782708    0    0    43   551 8094 9856 58 24 17  1  0
 3  0  96000 2331520 703104 5762632    0    0    41  1096 8111 9872 57 24 18  1  0
 1  0  96000 2310240 701832 5734108    0    0   282  2638 7894 11528 53 25 21  1  0
 6  0  96000 2304508 701476 5716596    0    4    50   616 7567 9049 53 25 22  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  96000 2306916 699740 5677796    0    0    53   618 7803 9113 53 26 21  1  0
 4  0  96256 2293236 698028 5637004    0    4    96   642 7791 8920 57 28 15  0  0
 5  0  96256 2297760 697020 5607588    0    0    57   501 7898 9420 58 24 18  1  0
11  0  96256 2316760 694956 5564684    2    0    63  1126 8150 9738 54 24 21  1  0
 1  0  96256 2520704 685984 5328212    0    0   308  2260 7392 11153 50 28 22  0  0
 4  0  96256 2533672 683624 5255176    0    0    58   710 7436 8809 51 25 23  1  0
 3  0  96256 2508952 683028 5238036    0    0    66   673 7882 9420 56 24 19  1  0
 1  0  96256 2503032 682568 5208840    0    0    70   495 7569 8867 57 25 18  1  0
 8  0  96256 2442512 682448 5206028    0    0    77   716 7942 9587 52 23 24  1  0
 5  0  96256 2419180 681768 5182788    0    4    78  1078 7270 8498 51 24 25  1  0
 8  0  96256 2437632 680612 5127380    0    6   313  2286 7459 10556 57 28 15  0  0
 5  0  96256 2433064 680644 5128900    0    0    82   801 8129 10561 52 23 24  1  0
 8  0  96256 2435696 680652 5129128    0    0    80   730 8279 10451 52 23 24  1  0
 5  0  96256 2424756 680660 5129600    0    0    82   653 8219 10349 52 24 23  1  0
 8  0  96256 2438468 680804 5121132    0    0    85  1534 8190 10335 54 23 21  1  0
 6  0  96256 2438996 680812 5122048    0    0    91  1221 8053 10049 55 23 22  1  0
 6  0  96256 2431136 680816 5127556    0    0   331  1883 8215 12885 54 24 22  1  0
 5  0  96256 2430844 680860 5129380    0    0    94  1502 8153 10183 53 23 24  1  0
 2  0  96256 2419636 680868 5130448    0    0    92   599 8156 10144 52 23 24  1  0
 3  0  96256 2420244 680896 5132360    0    0    99   774 8226 10280 54 24 22  1  0
 4  0  96256 2406224 680904 5133304    0    0   102   581 8028 10042 56 23 21  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  96256 2409296 680696 5129864    0    0   107  1229 8115 9913 60 24 16  1  0
 6  0  96256 2391624 680748 5136960    1    0   345  2140 8180 12790 60 24 15  1  0
 4  0  96256 2392316 680756 5137852    0    0   106   548 7999 9774 59 23 17  1  0
 3  0  96256 2391244 680764 5138760    0    0   115  1119 7833 9223 74 22  4  0  0
 7  0  96256 2402316 680796 5140508    0    0   102   793 8163 10351 53 24 23  1  0
 3  0  96256 2381172 680800 5141536    0    0   123   494 7860 9793 54 23 22  1  0
 2  1  96256 2424140 679540 5106600    0    0   142   526 7174 7789 57 28 15  0  0
